Protein_Name;Fraction1_RNase_Rep1;Fraction1_RNase_Rep2;Fraction1_RNase_Rep3;Fraction2_RNase_Rep1;Fraction2_RNase_Rep2;Fraction2_RNase_Rep3;Fraction3_RNase_Rep1;Fraction3_RNase_Rep2;Fraction3_RNase_Rep3;Fraction4_RNase_Rep1;Fraction4_RNase_Rep2;Fraction4_RNase_Rep3;Fraction5_RNase_Rep1;Fraction5_RNase_Rep2;Fraction5_RNase_Rep3;Fraction6_RNase_Rep1;Fraction6_RNase_Rep2;Fraction6_RNase_Rep3;Fraction7_RNase_Rep1;Fraction7_RNase_Rep2;Fraction7_RNase_Rep3;Fraction8_RNase_Rep1;Fraction8_RNase_Rep2;Fraction8_RNase_Rep3;Fraction9_RNase_Rep1;Fraction9_RNase_Rep2;Fraction9_RNase_Rep3;Fraction10_RNase_Rep1;Fraction10_RNase_Rep2;Fraction10_RNase_Rep3;Fraction11_RNase_Rep1;Fraction11_RNase_Rep2;Fraction11_RNase_Rep3;Fraction12_RNase_Rep1;Fraction12_RNase_Rep2;Fraction12_RNase_Rep3;Fraction13_RNase_Rep1;Fraction13_RNase_Rep2;Fraction13_RNase_Rep3;Fraction14_RNase_Rep1;Fraction14_RNase_Rep2;Fraction14_RNase_Rep3;Fraction15_RNase_Rep1;Fraction15_RNase_Rep2;Fraction15_RNase_Rep3;Fraction16_RNase_Rep1;Fraction16_RNase_Rep2;Fraction16_RNase_Rep3;Fraction17_RNase_Rep1;Fraction17_RNase_Rep2;Fraction17_RNase_Rep3;Fraction18_RNase_Rep1;Fraction18_RNase_Rep2;Fraction18_RNase_Rep3;Fraction19_RNase_Rep1;Fraction19_RNase_Rep2;Fraction19_RNase_Rep3;Fraction20_RNase_Rep1;Fraction20_RNase_Rep2;Fraction20_RNase_Rep3;Fraction21_RNase_Rep1;Fraction21_RNase_Rep2;Fraction21_RNase_Rep3;Fraction22_RNase_Rep1;Fraction22_RNase_Rep2;Fraction22_RNase_Rep3;Fraction23_RNase_Rep1;Fraction23_RNase_Rep2;Fraction23_RNase_Rep3;Fraction24_RNase_Rep1;Fraction24_RNase_Rep2;Fraction24_RNase_Rep3;Fraction25_RNase_Rep1;Fraction25_RNase_Rep2;Fraction25_RNase_Rep3
SPB6_HUMAN;0;0;0;0;1068.8;8704.3;76434;32051;20268;24500;5875;141370;51993;20981;29673;27642;10615;21931;10965;4959;5709.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRYAB_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25969;8165.6;8287.3;9970.4;3942.1;3085.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIGLN_HUMAN;0;0;0;0;0;0;0;0;0;474.7;109.68;10129;438440;171530;287560;461020;149710;320570;370170;191840;196140;355450;110900;205850;237890;55195;89512;14701;5345;5988.5;20616;7451.7;5529.7;14714;3066.6;2668.8;0;0;0;35010;15778;7340.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS9_HUMAN;0;0;0;0;0;0;8596.6;4740.3;3005.9;0;0;0;0;0;0;0;0;0;110800;49769;107110;84026;43591;93064;146040;46580;69416;16773;11208;9220.9;111190;38268;17323;38466;17024;7361;87822;27908;13718;57152;30947;17678;61726;20167;20756;43444;29277;15027;20603;7791.4;5746.2;20656;6386.9;7932.2;21177;3717.3;7809.8;15859;4406.3;4642.3;10996;560.68;2863.3;1558.3;284.75;2953.4;6607.5;627.32;4242.4;11749;6481.6;1842.2;44129;72114;5587
EHD1_HUMAN;0;0;0;0;0;0;0;0;0;165.03;0;2606.1;89545;35696;75948;124080;32268;82500;105420;33530;47674;72686;18281;38981;9144.3;2105.7;3871.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YTHD3_HUMAN;0;0;0;0;211.48;2373.4;74005;31514;14238;6151;3211.6;36316;85989;24725;33263;9324.6;1320.9;2986.8;9935.7;1646.1;4087;1347.7;410.27;966.68;1404.2;362.94;693.99;0;0;0;2083.9;914.76;748.56;0;0;0;343.35;0;170.35;0;0;0;658.97;463.77;343.45;0;0;0;0;0;0;316.69;0;255.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSA2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4343.5;1420;1575.6;0;0;0;3132.1;1548;703.77;94411;22580;37239;211760;74935;43731;169190;69806;43026;105000;40598;39234;27600;16712;8177.4;13449;7256.7;2757.4;11156;4975.8;2976.3;5236.8;1083;1732.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S22AI_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11244;4710.4;5487.6;15292;5325.1;4706.8;5706.7;3117.8;1434.8;4009.7;1316.9;899.01;0;0;0;18033;9226.5;5867.8;8689.8;1721.9;2274.7;2215;1614.4;833.66;1556.1;592.8;421.77;0;0;0;1485.6;211.81;470.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MICA_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5321.3;2812;1207.4;5684.7;2625.8;875.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MYOME_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8661.5;5647.2;3880.1;0;0;0;4716.2;4868.7;2947.8;0;0;0;0;0;0;11452;4444.8;2051.7;1719.4;488.66;304.99;0;0;0;0;0;0;0;0;0;583.96;433.12;195.05;0;0;0;626.15;174.05;497.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PDE4D_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21881;9116.4;14342;5733.7;1769.8;3412.1;0;0;0;0;0;0;2944.7;2426.1;1036.6;0;0;0;0;0;0;1188;556.08;509.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HMOX2_HUMAN;0;0;0;0;0;0;19809;7293.1;5062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12339;6403.6;2031.5;15954;4368.7;2782.1;2576.2;1058.4;529.25;24877;15300;6918.6;12905;5115.7;4405.1;2484.7;1730.9;986.3;616.27;443.37;0;1168.4;961;295.21;0;0;0;0;0;0;0;0;0;355.09;93.289;184.97;0;0;0;0;0;0;0;0;0
GRAP1_HUMAN;0;0;0;0;0;0;0;0;0;1036.7;398.58;11615;28103;10644;15264;20889;6892.8;11695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GPC6_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4979.3;1393.2;734.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CK054_HUMAN;0;0;0;0;0;0;756.99;611.64;221.25;278.39;175.64;2030.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PTPRJ_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3684.9;2430.9;1995.2;3940;2467.9;1475.1;5055.1;2116.7;1671.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B2L13_HUMAN;0;273.05;496.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750.37;126.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GPX2_HUMAN;0;0;0;0;2607.4;6266.7;62409;36420;10819;11709;3647.9;56615;99560;24851;41349;51982;17510;34046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX264_HUMAN;0;0;0;96.994;0;5815.3;16604;2177.1;3735.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3742.4;2014.5;588.05;0;0;0;2216.1;999.51;600.28;2526.6;1512;701.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ERGI2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11577;2669.1;2740.4;6219.2;1937.2;1163;14989;7467.7;4039.9;8659.1;3357.1;3444.1;7104.9;5753.6;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CBAR2_HUMAN;0;0;0;0;2452.4;19380;9381.3;5255.1;2699.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19609;5071.9;12880;0;0;0;38511;7248;5861.4;17574;4720.1;1913;9609.3;3709;2270.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAGT1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24931;18469;11989;43410;24203;9084.2;53796;27321;12115;46095;17805;8069.1;17156;8685.8;5385.5;28208;13690;10419;7691.5;4904.2;2031.5;4476.2;2001.7;812.42;11056;6132.9;4543.4;5529.8;2239.9;2859.1;1725.6;342.69;818;107.95;0;0;0;0;0;662.5;0;139.54;0;0;0;2009.4;2406.5;95.743
DPOLA_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11909;3194.5;4426.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VPS45_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14292;8251.5;14546;8485.6;5484.6;6477.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
