"","Fraction1_Ctrl_Rep1","Fraction1_RNase_Rep1","Fraction1_Ctrl_Rep2","Fraction1_RNase_Rep2","Fraction1_Ctrl_Rep3","Fraction1_RNase_Rep3","Fraction2_Ctrl_Rep1","Fraction2_RNase_Rep1","Fraction2_Ctrl_Rep2","Fraction2_RNase_Rep2","Fraction2_Ctrl_Rep3","Fraction2_RNase_Rep3","Fraction3_Ctrl_Rep1","Fraction3_RNase_Rep1","Fraction3_Ctrl_Rep2","Fraction3_RNase_Rep2","Fraction3_Ctrl_Rep3","Fraction3_RNase_Rep3","Fraction4_Ctrl_Rep1","Fraction4_RNase_Rep1","Fraction4_Ctrl_Rep2","Fraction4_RNase_Rep2","Fraction4_Ctrl_Rep3","Fraction4_RNase_Rep3","Fraction5_Ctrl_Rep1","Fraction5_RNase_Rep1","Fraction5_Ctrl_Rep2","Fraction5_RNase_Rep2","Fraction5_Ctrl_Rep3","Fraction5_RNase_Rep3","Fraction6_Ctrl_Rep1","Fraction6_RNase_Rep1","Fraction6_Ctrl_Rep2","Fraction6_RNase_Rep2","Fraction6_Ctrl_Rep3","Fraction6_RNase_Rep3","Fraction7_Ctrl_Rep1","Fraction7_RNase_Rep1","Fraction7_Ctrl_Rep2","Fraction7_RNase_Rep2","Fraction7_Ctrl_Rep3","Fraction7_RNase_Rep3","Fraction8_Ctrl_Rep1","Fraction8_RNase_Rep1","Fraction8_Ctrl_Rep2","Fraction8_RNase_Rep2","Fraction8_Ctrl_Rep3","Fraction8_RNase_Rep3","Fraction9_Ctrl_Rep1","Fraction9_RNase_Rep1","Fraction9_Ctrl_Rep2","Fraction9_RNase_Rep2","Fraction9_Ctrl_Rep3","Fraction9_RNase_Rep3","Fraction10_Ctrl_Rep1","Fraction10_RNase_Rep1","Fraction10_Ctrl_Rep2","Fraction10_RNase_Rep2","Fraction10_Ctrl_Rep3","Fraction10_RNase_Rep3","Fraction11_Ctrl_Rep1","Fraction11_RNase_Rep1","Fraction11_Ctrl_Rep2","Fraction11_RNase_Rep2","Fraction11_Ctrl_Rep3","Fraction11_RNase_Rep3","Fraction12_Ctrl_Rep1","Fraction12_RNase_Rep1","Fraction12_Ctrl_Rep2","Fraction12_RNase_Rep2","Fraction12_Ctrl_Rep3","Fraction12_RNase_Rep3","Fraction13_Ctrl_Rep1","Fraction13_RNase_Rep1","Fraction13_Ctrl_Rep2","Fraction13_RNase_Rep2","Fraction13_Ctrl_Rep3","Fraction13_RNase_Rep3","Fraction14_Ctrl_Rep1","Fraction14_RNase_Rep1","Fraction14_Ctrl_Rep2","Fraction14_RNase_Rep2","Fraction14_Ctrl_Rep3","Fraction14_RNase_Rep3","Fraction15_Ctrl_Rep1","Fraction15_RNase_Rep1","Fraction15_Ctrl_Rep2","Fraction15_RNase_Rep2","Fraction15_Ctrl_Rep3","Fraction15_RNase_Rep3","Fraction16_Ctrl_Rep1","Fraction16_RNase_Rep1","Fraction16_Ctrl_Rep2","Fraction16_RNase_Rep2","Fraction16_Ctrl_Rep3","Fraction16_RNase_Rep3","Fraction17_Ctrl_Rep1","Fraction17_RNase_Rep1","Fraction17_Ctrl_Rep2","Fraction17_RNase_Rep2","Fraction17_Ctrl_Rep3","Fraction17_RNase_Rep3","Fraction18_Ctrl_Rep1","Fraction18_RNase_Rep1","Fraction18_Ctrl_Rep2","Fraction18_RNase_Rep2","Fraction18_Ctrl_Rep3","Fraction18_RNase_Rep3","Fraction19_Ctrl_Rep1","Fraction19_RNase_Rep1","Fraction19_Ctrl_Rep2","Fraction19_RNase_Rep2","Fraction19_Ctrl_Rep3","Fraction19_RNase_Rep3","Fraction20_Ctrl_Rep1","Fraction20_RNase_Rep1","Fraction20_Ctrl_Rep2","Fraction20_RNase_Rep2","Fraction20_Ctrl_Rep3","Fraction20_RNase_Rep3","Fraction21_Ctrl_Rep1","Fraction21_RNase_Rep1","Fraction21_Ctrl_Rep2","Fraction21_RNase_Rep2","Fraction21_Ctrl_Rep3","Fraction21_RNase_Rep3","Fraction22_Ctrl_Rep1","Fraction22_RNase_Rep1","Fraction22_Ctrl_Rep2","Fraction22_RNase_Rep2","Fraction22_Ctrl_Rep3","Fraction22_RNase_Rep3","Fraction23_Ctrl_Rep1","Fraction23_RNase_Rep1","Fraction23_Ctrl_Rep2","Fraction23_RNase_Rep2","Fraction23_Ctrl_Rep3","Fraction23_RNase_Rep3","Fraction24_Ctrl_Rep1","Fraction24_RNase_Rep1","Fraction24_Ctrl_Rep2","Fraction24_RNase_Rep2","Fraction24_Ctrl_Rep3","Fraction24_RNase_Rep3","Fraction25_Ctrl_Rep1","Fraction25_RNase_Rep1","Fraction25_Ctrl_Rep2","Fraction25_RNase_Rep2","Fraction25_Ctrl_Rep3","Fraction25_RNase_Rep3"
"SPB6_HUMAN",0,0,0,0,0,0,7370.8,0,5419.7,1068.8,3599,8704.3,72064,76434,63575,32051,45914,20268,111410,24500,141020,5875,80301,141370,42962,51993,38578,20981,23125,29673,29982,27642,1990.8,10615,14686,21931,10513,10965,6228.1,4959,5938.1,5709.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRYAB_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32697,25969,15928,8165.6,14056,8287.3,10288,9970.4,4094.6,3942.1,5092.7,3085.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIGLN_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084.7,474.7,2492.6,109.68,2330.2,10129,205770,438440,174680,171530,112490,287560,341550,461020,39448,149710,171120,320570,387270,370170,276050,191840,224830,196140,568500,355450,345020,110900,214350,205850,466450,237890,231500,55195,97591,89512,41179,14701,18084,5345,13190,5988.5,36191,20616,15492,7451.7,11511,5529.7,16501,14714,5844.6,3066.6,6366.7,2668.8,0,0,0,0,0,0,14237,35010,9519.2,15778,6955.3,7340.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS9_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,3765.9,8596.6,3001.1,4740.3,3303.7,3005.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44293,110800,34647,49769,24843,107110,51338,84026,31978,43591,27524,93064,84264,146040,33703,46580,26292,69416,11161,16773,4352.6,11208,6603.1,9220.9,59767,111190,16765,38268,23473,17323,15465,38466,3819.5,17024,6869,7361,69481,87822,17729,27908,14040,13718,17473,57152,16869,30947,17477,17678,48852,61726,27309,20167,18661,20756,50369,43444,39922,29277,33114,15027,83089,20603,90516,7791.4,62091,5746.2,121800,20656,115390,6386.9,68219,7932.2,93969,21177,102450,3717.3,73846,7809.8,114450,15859,82911,4406.3,56638,4642.3,191180,10996,248740,560.68,59976,2863.3,200010,1558.3,163880,284.75,40878,2953.4,227540,6607.5,178100,627.32,59908,4242.4,99569,11749,63657,6481.6,56110,1842.2,169660,44129,174550,72114,78523,5587
"EHD1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159.8,165.03,1451.7,0,905.31,2606.1,115190,89545,82702,35696,49461,75948,129650,124080,10189,32268,47786,82500,95207,105420,55385,33530,39657,47674,64546,72686,27437,18281,32586,38981,11880,9144.3,4158.5,2105.7,2984,3871.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTHD3_HUMAN",0,0,0,0,0,0,1609.3,0,810.46,211.48,671.01,2373.4,23526,74005,20954,31514,16824,14238,4854.5,6151,11593,3211.6,6886.2,36316,34028,85989,27905,24725,17323,33263,5860.7,9324.6,692.24,1320.9,2277.4,2986.8,22325,9935.7,16816,1646.1,8707.2,4087,11619,1347.7,7056.1,410.27,4504.4,966.68,13298,1404.2,7031.4,362.94,2142.3,693.99,0,0,0,0,0,0,13481,2083.9,5343.7,914.76,3991.6,748.56,0,0,0,0,0,0,5954.3,343.35,1962.9,0,916.97,170.35,0,0,0,0,0,0,9316.8,658.97,5358.5,463.77,3144.8,343.45,0,0,0,0,0,0,0,0,0,0,0,0,11613,316.69,11206,0,4935.2,255.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSA2_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4109.1,4343.5,2623.2,1420,2017.7,1575.6,0,0,0,0,0,0,5564.6,3132.1,1351.3,1548,2285.8,703.77,106700,94411,39226,22580,100980,37239,307090,211760,131620,74935,81445,43731,104080,169190,95104,69806,66617,43026,136480,105000,101010,40598,74568,39234,28686,27600,28510,16712,15456,8177.4,18717,13449,24287,7256.7,9441.6,2757.4,16339,11156,15581,4975.8,6383.6,2976.3,8757.1,5236.8,8197.9,1083,6231.5,1732.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S22AI_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11829,11244,7153.4,4710.4,5644.6,5487.6,18633,15292,7604.5,5325.1,9901.6,4706.8,7367.1,5706.7,2361.6,3117.8,2849.1,1434.8,5417.3,4009.7,2196.8,1316.9,2525.3,899.01,0,0,0,0,0,0,12953,18033,10725,9226.5,9552,5867.8,11003,8689.8,5064,1721.9,4039.3,2274.7,2514.7,2215,2106.5,1614.4,1494.2,833.66,2471.6,1556.1,1462.8,592.8,1039.3,421.77,0,0,0,0,0,0,2005.1,1485.6,1587.8,211.81,1282.3,470.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MICA_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7162.2,5321.3,2403.7,2812,3226.6,1207.4,7685.9,5684.7,2473.8,2625.8,1935.3,875.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYOME_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4852.5,8661.5,3383.1,5647.2,3694.7,3880.1,0,0,0,0,0,0,5837.5,4716.2,4930.1,4868.7,3621.2,2947.8,0,0,0,0,0,0,0,0,0,0,0,0,10679,11452,4268.7,4444.8,4634.9,2051.7,3827.3,1719.4,951.24,488.66,830.32,304.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951.4,583.96,3009.4,433.12,2245.7,195.05,0,0,0,0,0,0,2964.8,626.15,2738.4,174.05,1687,497.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
