Protein_Name;Fraction1_Ctrl_Rep1;Fraction1_Ctrl_Rep2;Fraction1_Ctrl_Rep3;Fraction2_Ctrl_Rep1;Fraction2_Ctrl_Rep2;Fraction2_Ctrl_Rep3;Fraction3_Ctrl_Rep1;Fraction3_Ctrl_Rep2;Fraction3_Ctrl_Rep3;Fraction4_Ctrl_Rep1;Fraction4_Ctrl_Rep2;Fraction4_Ctrl_Rep3;Fraction5_Ctrl_Rep1;Fraction5_Ctrl_Rep2;Fraction5_Ctrl_Rep3;Fraction6_Ctrl_Rep1;Fraction6_Ctrl_Rep2;Fraction6_Ctrl_Rep3;Fraction7_Ctrl_Rep1;Fraction7_Ctrl_Rep2;Fraction7_Ctrl_Rep3;Fraction8_Ctrl_Rep1;Fraction8_Ctrl_Rep2;Fraction8_Ctrl_Rep3;Fraction9_Ctrl_Rep1;Fraction9_Ctrl_Rep2;Fraction9_Ctrl_Rep3;Fraction10_Ctrl_Rep1;Fraction10_Ctrl_Rep2;Fraction10_Ctrl_Rep3;Fraction11_Ctrl_Rep1;Fraction11_Ctrl_Rep2;Fraction11_Ctrl_Rep3;Fraction12_Ctrl_Rep1;Fraction12_Ctrl_Rep2;Fraction12_Ctrl_Rep3;Fraction13_Ctrl_Rep1;Fraction13_Ctrl_Rep2;Fraction13_Ctrl_Rep3;Fraction14_Ctrl_Rep1;Fraction14_Ctrl_Rep2;Fraction14_Ctrl_Rep3;Fraction15_Ctrl_Rep1;Fraction15_Ctrl_Rep2;Fraction15_Ctrl_Rep3;Fraction16_Ctrl_Rep1;Fraction16_Ctrl_Rep2;Fraction16_Ctrl_Rep3;Fraction17_Ctrl_Rep1;Fraction17_Ctrl_Rep2;Fraction17_Ctrl_Rep3;Fraction18_Ctrl_Rep1;Fraction18_Ctrl_Rep2;Fraction18_Ctrl_Rep3;Fraction19_Ctrl_Rep1;Fraction19_Ctrl_Rep2;Fraction19_Ctrl_Rep3;Fraction20_Ctrl_Rep1;Fraction20_Ctrl_Rep2;Fraction20_Ctrl_Rep3;Fraction21_Ctrl_Rep1;Fraction21_Ctrl_Rep2;Fraction21_Ctrl_Rep3;Fraction22_Ctrl_Rep1;Fraction22_Ctrl_Rep2;Fraction22_Ctrl_Rep3;Fraction23_Ctrl_Rep1;Fraction23_Ctrl_Rep2;Fraction23_Ctrl_Rep3;Fraction24_Ctrl_Rep1;Fraction24_Ctrl_Rep2;Fraction24_Ctrl_Rep3;Fraction25_Ctrl_Rep1;Fraction25_Ctrl_Rep2;Fraction25_Ctrl_Rep3
SPB6_HUMAN;0;0;0;7370.8;5419.7;3599;72064;63575;45914;111410;141020;80301;42962;38578;23125;29982;1990.8;14686;10513;6228.1;5938.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRYAB_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32697;15928;14056;10288;4094.6;5092.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIGLN_HUMAN;0;0;0;0;0;0;0;0;0;3084.7;2492.6;2330.2;205770;174680;112490;341550;39448;171120;387270;276050;224830;568500;345020;214350;466450;231500;97591;41179;18084;13190;36191;15492;11511;16501;5844.6;6366.7;0;0;0;14237;9519.2;6955.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS9_HUMAN;0;0;0;0;0;0;3765.9;3001.1;3303.7;0;0;0;0;0;0;0;0;0;44293;34647;24843;51338;31978;27524;84264;33703;26292;11161;4352.6;6603.1;59767;16765;23473;15465;3819.5;6869;69481;17729;14040;17473;16869;17477;48852;27309;18661;50369;39922;33114;83089;90516;62091;121800;115390;68219;93969;102450;73846;114450;82911;56638;191180;248740;59976;200010;163880;40878;227540;178100;59908;99569;63657;56110;169660;174550;78523
EHD1_HUMAN;0;0;0;0;0;0;0;0;0;1159.8;1451.7;905.31;115190;82702;49461;129650;10189;47786;95207;55385;39657;64546;27437;32586;11880;4158.5;2984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YTHD3_HUMAN;0;0;0;1609.3;810.46;671.01;23526;20954;16824;4854.5;11593;6886.2;34028;27905;17323;5860.7;692.24;2277.4;22325;16816;8707.2;11619;7056.1;4504.4;13298;7031.4;2142.3;0;0;0;13481;5343.7;3991.6;0;0;0;5954.3;1962.9;916.97;0;0;0;9316.8;5358.5;3144.8;0;0;0;0;0;0;11613;11206;4935.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSA2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4109.1;2623.2;2017.7;0;0;0;5564.6;1351.3;2285.8;106700;39226;100980;307090;131620;81445;104080;95104;66617;136480;101010;74568;28686;28510;15456;18717;24287;9441.6;16339;15581;6383.6;8757.1;8197.9;6231.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S22AI_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11829;7153.4;5644.6;18633;7604.5;9901.6;7367.1;2361.6;2849.1;5417.3;2196.8;2525.3;0;0;0;12953;10725;9552;11003;5064;4039.3;2514.7;2106.5;1494.2;2471.6;1462.8;1039.3;0;0;0;2005.1;1587.8;1282.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MICA_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7162.2;2403.7;3226.6;7685.9;2473.8;1935.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MYOME_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4852.5;3383.1;3694.7;0;0;0;5837.5;4930.1;3621.2;0;0;0;0;0;0;10679;4268.7;4634.9;3827.3;951.24;830.32;0;0;0;0;0;0;0;0;0;3951.4;3009.4;2245.7;0;0;0;2964.8;2738.4;1687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
